apkname,actividades,proveedor_contenido,receptor_mensajes,servicios,urls,filtros_intent,api_restringidas,api_sospechosas,permisos_solicitados,permisos_usados,uses-feature
com.Talim.mutaalim,3,0,0,0,0,1,9,3,2,2,0
appinventor.ai_vigilantesimone.GenovaBene,10,0,0,0,0,1,29,7,7,4,0
com.dreampedia,3,0,0,0,0,1,5,2,2,2,0
com.anisa.ResepMasakanBali,3,0,0,0,0,1,9,3,2,2,0
com.nbcf.ugbt,2,0,3,1,0,15,0,0,30,0,0
com.alex,4,0,0,1,0,2,15,4,2,2,1
com.android.teasoj,4,0,3,1,0,10,0,1,20,0,0
appinventor.ai_przemyslawwilde.PomocnikElektrykaAndroid,15,0,0,0,0,1,33,7,2,2,0
co.akashi.game,2,0,0,0,0,1,8,3,3,2,0
com.TamanHerbal.sutriyanidroid,3,0,0,0,0,1,8,2,2,2,0
ak,4,0,0,0,0,1,2,7,3,3,2
com.basterio.livecandle,2,0,4,9,0,11,3,6,5,2,3
com.adelinolobao,8,0,0,0,0,1,10,4,2,2,0
com.calculatoraspectratio,4,0,0,0,0,1,6,3,7,4,0
aimoxiu.theme.mx8b2e0b3775486da4510aad55bc098bd2,1,0,0,0,0,1,0,5,8,4,0
com.gumballstarlivewallpaper5790973,7,0,1,2,0,4,17,7,8,4,1
com.br.contacme,1,0,0,0,0,1,4,2,3,1,0
com.burin,16,1,9,21,11,32,0,13,33,10,0
com.ecapycsw.tybnhgt,2,0,1,1,0,2,0,2,10,1,0
cn.zhong5.dongqi,29,0,0,1,2,3,5,10,13,8,0
com.diagnosa.khuruj,3,0,0,0,0,1,4,2,2,2,0
com.dzdiy,5,0,0,0,0,2,0,2,21,0,0
com.andromo.dev87726,4,0,0,0,0,1,8,4,2,2,1
com.poppymercury.rohimapp,3,0,0,0,0,1,8,2,2,2,0
com.cszzh.qipa,7,0,0,3,0,3,4,9,23,6,1
co.hotelgenius,1,0,0,0,0,1,0,2,1,1,0
br.com.capese,23,0,1,1,0,2,7,8,10,6,0
appinventor.ai_amodius1.EmployeeManagement,1,0,0,0,0,1,30,8,3,3,0
com.IkhfaStudio.diywoodentoys,3,0,0,0,0,1,5,2,2,2,0
com.ager.graficas,1,0,0,0,0,1,2,2,4,2,0
com.clement.calixte,7,0,0,0,0,1,8,3,1,0,0
com.djair,3,0,1,1,0,4,0,2,10,0,0
all.language,7,1,0,0,0,1,2,6,6,2,0
com.press.w,1,0,0,0,0,1,0,0,2,0,0
com.MensCasualSandals.narsumstudio,3,0,0,0,0,1,8,2,2,2,0
com.dannypro,3,0,0,2,0,1,18,3,1,0,0
com.gucdxj.gws.bsdsdsd.unblock2332865A1AB9777B5569373AF3F109EB3095C558166,3,0,0,2,0,1,0,1,9,0,0
com.pick.chickses,7,0,1,1,0,2,1,5,15,3,0
com.honeymoon.stone.jean.poweredit,9,0,1,2,3,4,2,8,21,10,0
com.jisuanzhushou.min,11,0,0,1,0,1,2,5,14,3,0
app.dhr.go.cr,1,0,0,0,0,1,0,2,3,1,0
appinventor.ai_izzybella419.FunTapTheShapes,1,0,0,0,0,1,41,10,1,1,0
app.fhongai,2,0,1,1,0,2,0,1,11,1,0
com.androidbook2.gab,7,0,0,0,0,2,14,4,4,3,0
com.despa,4,0,0,0,0,1,8,3,2,2,0
com.gucdxjfk.ingl.kxw.blockgame,8,0,0,1,0,1,0,6,9,3,0
cn.chinahn.soj.net.org,9,0,11,14,5,24,3,11,38,9,0
com.a70250465051c96fcec996f2a,10,0,3,2,0,5,6,9,11,6,2
air,2,0,0,0,0,1,2,3,4,3,0
com.NewbredEra.JFSF,5,0,1,1,0,2,13,5,2,2,0
com.dzwxrsbq,5,0,0,0,0,2,0,6,22,3,0
com.adamandeve,4,0,0,0,0,1,8,3,2,2,0
com.berat,3,0,0,0,0,1,1,2,3,1,0
com.JujuDroid.ModelTrellisWindowDesigns,3,0,0,0,0,1,4,2,2,2,0
com.pcmexports.app,1,0,0,0,0,1,0,0,4,0,0
com.papa.pabat991793F391D805E72B61ADE002D806695D76E6D4,5,0,2,2,0,4,0,3,10,1,0
com.michael.answer,5,0,1,1,0,2,0,2,9,0,0
com.cnish,8,0,1,1,0,2,0,1,7,0,0
com.ClayPotteryDesignlinza,3,0,0,0,0,1,9,3,2,2,0
com.centryapps,3,0,0,0,0,1,15,4,2,2,0
appinventor.ai_sevilheper.CatchTheSanta,2,0,0,0,0,1,28,8,5,4,0
appinventor.ai_test.wastewater,3,0,0,0,0,1,28,7,5,4,0
com.changwan,5,0,0,1,1,1,18,10,10,6,0
become.freetaxi,4,0,0,0,0,1,8,3,2,2,0
com.athiduboom.fakecallsms,8,0,3,3,0,5,3,7,10,5,0
com.Guitar.Beginners.Lessons,7,1,0,1,0,1,8,5,2,2,1
com.deviaschool.gsmondian,1,0,0,0,0,1,0,0,2,0,0
com.agus.southkorea.calendar,5,0,2,1,0,2,4,5,5,4,0
com.nuggeta.game.castlejump.androidfdfg,3,0,1,1,0,2,0,4,8,4,0
com.MusicSongLyricsCamp.KatyPerryTopSongs,6,1,0,0,0,1,14,3,3,3,0
com.jindan.shouse,12,0,0,0,0,2,0,1,23,0,0
com.andromatic,5,0,0,0,0,1,8,3,7,3,3
com.Sahabat.Nabi.Muhammadshallallahualaihiwasallam,3,0,0,0,0,1,9,3,2,2,0
ac.robinson,10,1,0,1,0,1,5,3,5,2,6
com.content.ugly,4,0,1,1,0,4,0,2,10,1,2
com.APPSforever.sherasms2017,4,0,0,0,0,1,12,4,2,2,0
com.alllatestnews.chile.noticias,17,0,2,1,0,3,4,7,8,5,0
artarmin.android.scrum,3,0,1,0,0,2,13,3,1,0,0
com.liyi.apps.linuxcommand,11,0,1,1,0,5,0,1,9,0,0
com.assetfor,8,0,5,7,0,8,0,4,17,1,0
com.luhqio.haitunpay3E3FC9E58ABAAC8ADEDAC3EAC7AA99582A1AD81F,12,0,0,0,1,3,3,7,14,3,0
com.destiny.byzm05230BF178724D9ED7BAC7C391BFB60D2B3CDF70,24,0,1,1,0,3,2,2,14,3,0
com.jixianmotuo.msdxfszfzcv,3,0,1,1,0,2,3,2,8,0,0
com.qdrb.network,7,0,0,1,0,3,0,1,9,0,0
com.cybersky,2,0,0,0,0,1,9,2,0,0,0
com.ageelg.android,4,0,0,0,0,1,4,6,2,1,0
com.elfswipe8F106EB9A68E95DB6A656A6C2A35800ABC3D0EB0,7,1,3,5,0,10,12,7,15,5,1
aimoxiu.theme.mx864f916b776de245f2dd01f44cc99739,1,0,0,0,0,1,0,5,8,4,0
br.com.primeiraieqcuritiba.campanha7clamores,3,0,1,0,0,1,17,2,2,0,0
co.hotelgenius.rkbeach_Hotel,1,0,0,0,0,1,0,2,1,1,0
cn.zhui,1,1,1,1,0,9,4,8,19,9,2
com.HennaArt.asolelek,3,0,0,0,0,1,4,2,2,2,0
com.goyal.website2apk29515C6E8E1E6D3C72B954C451E63E359D80928C,1,0,0,0,0,1,0,1,7,1,0
appinventor.ai_matthew_park.Dropper_final,7,0,0,0,0,1,30,8,4,3,0
com.andromo.dev6860,11,0,0,0,0,1,4,3,2,2,1
com.android.liulingsi,4,0,3,1,0,9,0,0,19,0,0
com.diyrefashionoldclothes.backsodor,3,0,0,0,0,1,8,2,2,2,0
com.CaraMenanamBunga.rondiahndroid,3,0,0,0,0,1,8,2,2,2,0
com.backgrouddesigns,3,0,0,0,0,1,4,2,2,2,0
com.meiriyougou.cn,18,0,1,1,1,6,6,8,18,4,0
br.com.netpoint,1,0,0,0,0,1,14,2,3,2,0
com.cookingrecipe,4,2,1,3,0,3,5,3,2,2,0
appinventor.ai_namakuhelmiditya.RCITY,3,0,0,0,0,1,34,9,4,4,0
com.meifu.beautysalon,6,0,1,2,0,2,1,5,17,5,0
com.gzgames.knockdown2,4,0,1,1,0,2,0,2,12,1,0
com.alphshopdeals,4,0,0,0,0,1,8,3,2,2,0
appinventor.ai_zaenal77hafid.JOLINTSAI,3,0,0,0,0,1,34,9,4,4,0
com.ae,3,0,0,0,0,1,6,4,3,2,0
cn.adouming,9,0,7,2,0,8,3,9,9,6,0
com.CoolFlowerArrangementIdeas.Daviansapp,3,0,0,0,0,1,4,2,2,2,0
aimoxiu.theme.mx89cea0ad3b3b66b490e5da74e10520d0,1,0,0,0,0,1,0,5,8,4,0
com.kingve.player,25,0,6,4,0,10,12,10,22,5,0
com.CerpenSedihPatahHati.AyahMamah,3,0,0,0,0,1,4,2,2,2,0
com.Mobi2Go.birdonawire,3,0,0,0,0,1,11,4,7,3,0
atbin,4,0,1,1,1,3,4,5,11,5,0
appinventor.ai_khusnulbisnis77.SIGALA,3,0,0,0,0,1,35,8,4,4,0
apps.infinite.recordscratchsound,6,0,0,0,0,1,15,4,2,2,0
com.das.ef,2,0,0,1,2,1,4,8,18,6,0
com.andromo.dev455873,5,0,0,0,0,1,5,3,2,2,1
com.burning,9,0,4,3,1,18,8,9,18,8,0
com.cicej,1,0,0,0,0,1,0,0,7,0,0
com.google.zxc,15,1,7,7,1,30,3,12,34,10,0
com.farley.pintor,1,0,0,0,0,1,0,0,6,0,0
com.rajwatifilmsssss.rajwatifilmsssss,1,0,0,0,0,1,1,1,2,0,0
com.ovoshimedia.video.prikoly.kotiki.fun.cats,7,1,4,4,1,8,2,7,13,8,0
appinventor.ai_jamal80udin.RAHATFATEH,3,0,0,0,0,1,34,9,4,4,0
com.dqu,9,0,6,14,0,23,0,0,42,0,0
com.MugDesign.sinabil,3,0,0,0,0,1,8,2,2,2,0
com.lingke.xiaoshuang,20,0,0,0,0,1,2,6,5,2,0
chubb.guardpost,7,0,2,2,0,1,11,8,7,3,0
com.guide.hunt.pokemongo.tutorial,3,0,0,0,0,1,8,4,4,2,0
an,3,0,0,0,0,1,8,5,5,4,0
com.IdeDesainSepatuBayiManis.agus,3,0,0,0,0,1,9,3,2,2,0
com.nys.mm,20,0,0,0,0,1,0,1,20,0,2
appinventor.ai_CJVETERAN,1,0,0,0,0,1,30,7,3,3,0
appinventor.ai_2018loudebc.Scribble,2,0,0,0,0,1,30,7,4,3,0
br.com.epx,3,0,0,0,1,1,14,6,2,2,0
apps.android.recipes_Multivarki,1,0,0,0,0,1,14,2,1,0,0
com.interiordesignstyles.riplowdroids,3,0,0,0,0,1,4,2,2,2,0
com.LagulDlloydKenanganMp3.asmalakiranadroid,3,0,0,0,0,1,8,2,2,2,0
com.connect4,6,0,0,0,0,1,9,4,3,3,0
com.bmsoft,10,0,0,0,0,1,0,2,8,1,0
air,1,0,0,0,0,1,0,1,0,0,0
com.ezzebd.androidassistant,12,0,6,8,0,9,4,9,27,15,0
KpExn.GrckCC.TneQpGi,10,0,3,6,0,22,0,0,31,0,2
com.addiPlot,1,0,0,0,0,1,0,0,2,0,0
com.baidu,7,0,10,5,1,27,2,12,13,6,0
com.appmk.book,7,0,0,0,0,3,0,2,8,3,0
com.abia.blockincommingcall,6,0,1,0,0,3,12,4,11,5,0
com.android.jmqb682F155F8051925F6B39C9FB425CF9E9257AC496,8,1,9,8,0,12,0,3,17,0,0
com.aiuspaktyn.secureeraser,4,0,0,1,0,1,13,5,6,3,0
com.NewUniqueSleepingLights.myapps,3,0,0,0,0,1,4,2,2,2,0
appinventor.ai_kevinglory7.TrEgnlish,2,0,0,0,0,1,30,8,5,3,0
com.ficgs.blindfoldchess197AD938DD3758A5EBB5893649A2A8AAEBE15B10,1,0,0,0,0,1,0,0,4,0,0
com.BestSongsEMINEM.sidikdroid,3,0,0,0,0,1,8,2,2,2,0
aiihac.ghjaki.ibdhln.pjknni.idepke.kmimnm,3,0,7,4,0,23,2,11,37,9,0
com.drnq,2,0,3,1,0,15,0,0,30,0,0
advanceit.circlefocus,4,1,0,0,0,1,14,5,4,3,0
com.bigpinwheel.game,7,0,0,2,0,2,5,5,10,6,0
com.asmi,1,0,0,0,0,1,0,1,3,1,0
com.ezzebd.androidassistantA38A777EC15EB33830E9B54FEB0520A04DAA99C9,12,0,6,8,0,9,4,9,27,15,0
com.iusworks.artillery,27,1,1,2,0,4,0,1,18,0,0
com.cjabmsamgsdzm,1,1,2,2,0,6,2,5,19,2,0
com.qmtiku.categoryId_33,26,0,3,4,0,7,0,6,17,3,0
com.YKTWY.wuyesystem,12,1,4,3,0,11,0,2,20,0,0
appinventor.ai_khusnulbisnis77.PINK,3,0,0,0,0,1,25,7,6,5,0
air.EscapeGames8818,2,1,0,0,0,1,0,3,4,3,0
Lycomm.Dual.Activity,23,0,2,1,2,7,5,10,22,5,0
com.aygame,5,0,3,2,1,7,4,9,11,5,0
com.jamesleungrusinh.hoarding,11,0,1,4,1,4,9,8,11,6,0
appinventor.ai_pgbapp,1,0,0,0,0,1,28,7,4,4,0
cn.menue.volumesetting,2,0,2,1,3,3,28,6,3,3,0
cn.ahurls,29,0,1,5,1,32,0,8,14,7,0
an.ReduceX,1,0,0,0,0,1,0,0,0,0,0
com.lifgiu.afgpp.smppfgfg,15,0,1,2,0,2,0,2,11,3,0
appinventor.ai_onlineuse147.Policestation,4,0,0,0,0,1,26,7,6,4,0
com.nwe.kk,20,1,5,9,0,5,0,3,22,0,0
com.het.soreal.sorealgame,3,0,0,0,0,2,22,6,2,2,0
com.mathematicalformulasheet.namoraapps,3,0,0,0,0,1,4,2,2,2,0
com.example.calculatorforprogrammer,5,1,1,0,0,3,0,1,6,0,0
air.Carrom_Board,3,1,1,1,0,4,1,4,5,3,0
com.apktools,7,2,5,4,0,6,2,4,13,6,0
com.beetlivewallpaper4846923,7,0,1,2,0,4,17,7,8,4,1
android.jdzs,6,0,5,11,0,9,4,2,10,0,0
appinventor.ai_Xerxz5115.Chord_Finder,2,0,0,0,0,1,34,10,5,3,0
com.DenisProjects,2,0,0,0,0,1,8,3,2,2,0
br.com.sercomtel,8,0,0,0,0,1,0,3,2,1,0
app.six,3,0,2,1,0,7,0,9,14,6,0
com.cz365.qhb,49,1,4,12,0,18,0,3,21,0,0
com.EveningGown.redjola,3,0,0,0,0,1,4,2,2,2,0
com.mjdtdt.hlipod.shousi,9,0,1,1,0,2,4,6,10,3,0
com.chrystianvieyra.android,4,0,0,0,0,1,9,3,2,1,2
atanasov.boyan.acsmobileapp,2,0,0,0,0,1,4,4,2,1,0
com.han001.cn,5,0,4,14,0,8,0,2,28,0,0
com.adnopdd,24,9,2,6,0,6,0,0,18,0,0
com.andromo.dev304875,7,0,0,0,0,1,4,3,2,2,1
ca.helvetia002.apps2016,2,0,0,0,1,1,5,6,6,4,0
com.at.fakepc,11,0,2,2,0,12,0,2,11,1,0
com.newminisixliuhkc.riyu.richuanriyu1000,6,0,1,1,0,2,0,1,10,0,0
com.Asmae.KABILWAHABILpc,6,0,0,1,0,1,12,4,3,3,0
com.android.application.wallpapers,4,0,1,2,0,3,4,5,18,3,0
com.KumpulanPeribahasaCinta.BerkahCorp,3,0,0,0,0,1,8,2,2,2,0
com.automotiontv,2,0,4,3,0,5,4,4,9,4,3
coc.krakentv,2,0,0,0,0,1,7,2,6,3,0
com.newera.toolbox,15,0,20,6,1,33,3,10,36,14,0
com.capgemini.disney,1,0,0,0,0,1,12,3,0,0,0
com.amuzenet,1,0,0,0,0,1,1,1,2,2,0
com.burning.privatefood,9,0,4,3,1,18,8,9,18,8,0
com.futurnal.beautywall,1,0,4,4,1,8,0,8,34,5,0
com.bhdx.ewcy.aoxw,30,0,3,2,0,10,3,7,22,5,1
com.fowiki.fogen,1,0,0,0,0,1,1,1,2,0,0
blue.sky.skyid20170610,5,1,0,0,0,2,5,4,7,1,0
com.CardiganDesignIdeas,3,0,0,0,0,1,4,2,2,2,0
affcen.ezefpnc.lzfxj.zmy,6,0,0,1,0,1,0,0,15,0,0
com.bravo.photofx.lwp,11,0,1,2,0,3,6,5,5,4,0
com.kamilafarzana.healthysaladrecipes,3,0,0,0,0,1,4,2,2,2,0
com.assetfor.bluetooth15CE49C0C52D59971385565DFFE38096348AD0D1,7,0,0,6,0,3,0,6,18,3,0
appinventor.ai_brunogomes747,7,0,0,0,0,1,28,7,4,4,0
com.andromo.dev239598,11,0,0,0,0,1,10,7,3,3,1
com,1,0,2,1,0,6,4,6,8,4,0
com.fhxsggzb.jlhd,12,0,0,0,0,1,4,10,25,9,1
com.amsyong,2,0,0,0,0,1,13,5,3,2,0
appinventor.ai_info_marcello_rossi.WHATSIGN_VRF,4,0,1,0,0,3,23,7,16,7,0
com.TrikMelatihBakatWirausaha.sutriyanidroid,3,0,0,0,0,1,8,2,2,2,0
com.mappso.tkrsh,8,0,1,1,2,3,26,7,5,5,0
com.retenloquetienes.audiostreaminghd,1,1,4,5,0,6,2,3,5,2,0
com.llagusyahrinisesuatu.omdardroid,3,0,0,0,0,1,8,2,2,2,0
com.NewDollHouseDesigns.laurentapp,3,0,0,0,0,1,4,2,2,2,0
com.agencia.b2b,1,1,4,5,0,6,0,3,10,4,0
com.mh.cleantoo,3,0,1,5,0,6,0,6,14,3,0
com.chartsack,1,2,0,1,0,1,4,2,5,2,0
com.lagupersijalengkap.adeirfandi,3,0,0,0,0,1,8,2,2,2,0
com.raluj.fxwrncert,3,0,2,6,0,7,0,1,14,0,0
com.dari.lyrics,2,0,0,0,0,1,8,2,2,2,0
com.ly.checkB08934A8A510FCDB4009099A422ACC651365D480,27,1,17,20,0,27,0,1,53,0,0
aimoxiu.theme.mx6a57c5368aab76c3dca096d5070501db,1,0,0,0,0,1,0,5,8,4,0
com.android.opaskdjm,4,0,3,1,0,9,0,0,19,0,0
com.bukuoryzaee,5,0,0,0,0,1,20,7,3,3,0
com.power.cm.time,5,0,2,2,0,8,0,2,40,0,0
bpttzs.vip,9,0,0,0,0,1,29,7,3,1,0
com.muow.cloc.eztv,10,0,2,2,0,8,3,6,14,4,0
aimoxiu.theme.mx45188813ac82e8c73c6fd95774c667bb,1,0,0,0,0,1,0,5,8,4,0
com.apaeye.matchanimekuro,2,0,0,0,0,1,10,3,2,2,0
com.andromo.dev314697,7,0,0,0,0,1,4,3,2,2,1
ch.insign,3,0,0,0,0,1,12,6,5,2,0
aimoxiu.theme.mx82cfeacd81351fc53d82dc8e048791fa,1,0,0,0,0,1,0,5,8,4,0
clicapack.com.clicapackapp,9,0,1,1,0,3,3,4,10,5,0
co.lvdou.livewallpaper,4,0,1,3,0,4,7,7,7,3,0
com.android,7,0,4,2,0,22,0,0,27,0,0
appinventor.ai_manasgoyal3777.VoterINDIA,17,0,0,0,0,1,39,11,4,4,0
appinventor.ai_snc1d1,3,0,1,0,0,3,18,8,11,6,0
com.mdvmonsxa.lhqhmfqodr,9,0,5,9,0,6,0,0,13,0,0
com.elfswipeDA003274F50073FD0B7626F611A4386553FE9BE5,7,1,3,5,0,10,12,7,15,5,1
com.gwjppa.LZstory,3,1,1,2,0,3,0,3,8,0,0
com.mooddo,7,1,1,4,0,2,0,3,26,0,2
an.password,12,0,1,0,0,4,8,5,5,4,2
com.andromo.dev177155,8,0,0,0,0,1,4,3,2,2,1
com.highvoltage.dailywishes,6,0,4,1,1,3,11,6,7,3,0
com.androapps,11,0,0,0,0,7,7,4,11,6,7
com.poipoi.bluetooth,4,0,1,2,0,4,0,3,17,1,0
com.rnstudio.beautyfullaurora,3,0,0,0,0,1,4,2,2,2,0
com.gucdxj.jump,6,0,0,1,0,1,1,5,9,4,0
com.criketapp.opensudoku,12,0,1,1,0,5,0,2,7,0,0
brunnlechner.Kalenderwoche.KW,1,0,1,1,0,2,5,3,2,1,0
com.Hdmi.Connect.Tv,6,0,0,0,0,1,23,4,0,0,0
com.appforyou8.farizka,2,0,0,0,0,1,7,2,5,3,0
app.softyoug.com.maheshwarisevasamiti,10,0,1,0,0,2,5,5,7,1,0
com.hell.llooo,4,0,0,0,0,1,8,3,2,2,0
com.feq.vrlq.dw.dxwva,20,0,0,0,0,2,0,0,13,0,0
apps.robot.simlish_dictionary_ru,5,1,4,3,0,4,6,5,7,4,2
com.adnfxmobile.discovery,11,1,6,8,0,10,1,2,13,3,0
com.danieonline.shopiingfast,4,0,0,0,0,1,8,3,2,2,0
com.appgames.dxjxrr.rao,3,0,0,1,0,1,0,6,11,3,0
com.a34565491352af3d62db4a50a,7,0,0,0,0,1,16,7,7,5,2
com.doross,3,1,0,0,0,1,11,3,5,2,0
aa.we.boatarde,6,0,1,1,0,3,3,6,17,7,0
com.lazarosamwel.app,1,0,0,0,0,1,0,0,6,0,0
com.akkzrt,1,0,0,0,0,1,0,1,2,0,0
aimoxiu.theme.mx2357e3d672fb80f5e76b8db0d7827ff1,1,0,0,0,0,1,0,5,8,4,0
com.LogoDesign.sipipit,3,0,0,0,0,1,8,2,2,2,0
com.bornfreesoftware.busybee.free23,5,0,1,1,0,2,0,1,8,0,0
com.cantiq.laguslankterupdate,2,0,0,0,0,1,7,2,6,3,0
com.brains.byzmnew,4,0,1,1,0,3,2,2,14,3,0
com.boyaa,8,0,0,0,0,1,5,6,5,3,0
com.DIYkidscrafts,3,0,0,0,0,1,4,2,2,2,0
com.materitarbiyahmuayyid.Rayadeveloper,3,0,0,0,0,1,8,2,2,2,0
com.papas.tacks,6,0,1,1,0,2,0,2,8,0,0
com.andromo.dev6860,18,1,0,1,0,1,4,3,3,2,1
com.androidemu,11,0,1,1,0,4,0,2,15,6,0
com.OnceStudios.TopAlanwalker,6,0,0,0,0,1,8,3,3,2,0
com.ceteralabs,6,0,2,0,0,2,2,4,5,4,0
com.printblazer.btxapp,2,0,0,0,0,1,8,2,2,2,0
com.glgjing.qvqgxjhawkeye,6,1,10,6,0,13,3,5,77,7,0
cn.com.wece,2,0,1,1,0,2,11,5,12,2,0
com.LaguBandUtopiaMp3.Unique_Studio,3,0,0,0,0,1,8,2,2,2,0
com.hjrzfjeo.ixlmtclo,10,0,5,4,3,19,0,11,43,9,0
com.n455692005.uyk,12,1,7,4,0,28,3,12,29,11,2
com.Golf.Beginners.Lessons,7,1,0,1,0,1,8,5,2,2,1
View.beaQueen.SangGeon.Cauly,30,0,0,0,0,1,13,6,5,2,0
appinventor.ai_leoauza,2,0,0,0,0,1,28,7,4,4,0
com.android.cqccb,2,0,3,3,0,7,2,4,13,1,0
com.auybbb,17,0,5,3,2,9,4,10,44,7,0
cn.ecook.zaocan,10,1,1,4,0,1,0,2,6,0,0
com.appybuilder.richardrahmawan.DewiPersik,3,0,0,0,0,1,38,11,6,5,0
app.sixE97838BDD9CDF0D4ADA32284D3709038941A027A,3,0,2,1,0,7,0,9,14,6,0
com.bzy.tpxf4709EBBE7D473393E7FEAD567F79255711E9628F,3,1,1,1,0,3,4,5,10,3,0
com.bcs,2,0,0,0,2,2,0,0,4,1,0
com.ishow.dddb27,6,0,1,1,1,3,3,9,17,7,1
com.andromo.dev186294,3,0,0,0,0,1,4,3,2,2,1
br.cromos,4,0,0,0,0,1,10,5,5,3,0
com.adlyanfeidalwieycxa.cnlg,3,0,1,1,0,2,0,2,8,1,0
com.banana,11,0,4,4,0,7,9,6,14,9,0
com.best.mobile.andro.laser.pointer,2,0,0,0,0,1,19,4,4,3,1
com.ball3dflags,5,0,1,2,0,2,1,5,5,5,0
com.dhwohdhosdw.wanmeipiano,6,0,1,1,0,2,0,2,12,0,0
com.hgdehtgaze9A6017E8AE74A16AAAA7BDDA2BDD9D7E5C58C8AC,25,0,1,1,0,2,0,5,13,3,0
com.future.zombiedmopoiui,2,0,3,2,0,6,6,6,8,2,0
com.bestgames.talkingtedcruz,13,0,2,4,0,2,13,6,15,9,0
com.easyhealth.doctoradvice,1,0,0,0,0,1,0,6,8,3,0
com.andromo.dev352826,18,0,0,0,0,1,5,4,5,3,1
com.androidapps.andyngky,3,0,0,0,0,1,15,5,2,2,0
com,22,0,0,0,0,1,8,3,2,2,0
com,9,0,0,0,0,1,17,6,4,4,0
com.androin,3,0,0,0,0,2,6,3,3,2,0
com.Media,6,1,1,5,0,1,0,3,14,0,0
com.apzecsva.hfdsosrg,4,0,3,9,4,17,0,11,42,8,0
aimoxiu.theme.mx687dc33d2109d4f9f9e8286b06c46a46,1,0,0,0,0,1,0,5,8,4,0
cn.jabisin,3,0,0,0,0,1,5,6,11,2,0
com.mbwu.rafu,2,0,3,1,0,14,0,0,30,0,0
com.andromo.dev242438,14,1,0,1,0,1,4,3,3,2,1
cc.ocr.yunapp,3,0,1,0,0,2,1,6,6,3,0
com.akonline.apycalculator,8,0,3,3,0,4,30,4,2,2,0
com.bukuoryzaee.mylovelybrother,4,0,0,0,0,1,18,6,3,3,0
appinventor.ai_zaenal77hafid.PIERCETHEVEIL,3,0,0,0,0,1,34,9,4,4,0
com.gucdxj.mazerebbb,4,0,0,1,0,1,0,2,10,0,0
com.lagunasional.thejoker,3,0,0,0,0,1,8,2,2,2,0
com.BrunoMarsSongs.dededroid,3,0,0,0,0,1,8,2,2,2,0
au.com.craddysoftware.greg,3,0,0,0,0,2,11,4,2,2,0
com.duyou.gdjzzs,1,0,0,0,0,1,0,1,1,0,0
com.andromo.dev287394,6,0,0,0,0,1,4,3,2,2,1
com.joydesign2.joy_02_31,8,0,1,1,0,4,2,8,19,5,6
br.com.portalradios.penabranca,1,0,0,0,1,1,8,2,3,1,0
cggk.bitballoon.com.crackcgpsc,2,0,1,1,0,1,13,10,5,3,0
com.desertwarriorr.games99,4,0,0,0,0,1,8,3,2,2,0
com.buit,1,0,0,1,0,1,2,6,5,2,0
cn.doupogfigame.dpgame9CA03A0C1DDDA927C62FCB8BA107734A72C8295D,4,0,2,2,0,8,0,3,19,0,0
bong.android.sdcardsearch,2,0,0,0,0,1,15,8,5,3,0
com.hd.androidF2A298EE101BAB71019104196DFD7B6CE86B5305,4,0,1,8,0,3,0,1,22,0,0
com.feauyye.klikjlxs,4,0,3,4,0,7,2,3,22,1,0
com.Chandelierdesign.myapps,3,0,0,0,0,1,4,2,2,2,0
com.cabcbdcvgsdrfsvhfh,7,0,1,1,0,2,0,3,8,0,0
com.applica4,14,0,1,1,0,2,4,4,5,3,0
com.dsgaddgeb.dongerlis,6,1,3,6,0,5,0,2,12,0,0
com.hd.android32FB9D8A165D00B300D4DFF696A0403913BCDE6A,4,0,1,8,0,3,0,1,22,0,0
com.astiwz,2,0,0,0,0,1,14,3,0,0,0
br.com,10,0,0,0,0,1,6,3,3,3,0
com.camelgames,3,0,0,0,2,1,2,4,6,1,0
com.clerdcnl.aggphcfx,10,0,5,4,3,19,0,11,43,9,0
com.alberto,1,0,0,0,0,1,13,2,3,2,0
com.homescgbile.defendgf7A88742885ABD44C58B66B8B191E40262B915703,7,0,1,1,0,3,3,5,9,0,0
com.aktsirmaalii.ilmupeletterlengkapktsir,2,0,0,0,0,1,8,2,2,2,0
com.cannonsand,4,0,0,0,0,1,8,3,2,2,0
com.conduit.app_ec78bce1f83a478abd6eeb8ee5bd86f6,6,0,1,2,0,3,4,6,12,6,2
com.oogameloft.glofganrendoushi,2,0,1,1,0,2,6,2,9,0,0
com.mt.yisheng.diagnosis710F06F1202CD1CE018959E812BA3744CBE17949,12,0,1,1,0,2,0,2,11,0,0
br.com.unitaxidf.passenger,32,0,1,3,1,2,3,5,14,4,3
com.chenai.aitouch0109D5E795AEC01CB2CF7C7DEAA9A0B5DB067817,10,0,1,3,0,3,0,2,24,0,3
com.breeze,2,0,0,0,0,1,14,3,3,3,0
appinventor.ai_AMICOFELINI.smsrapidi,2,0,1,0,0,3,23,7,14,7,0
com.blyts.parkourlite.activhfksjgs,9,0,3,3,0,2,4,2,7,0,0
com.MediaFaplayer,7,0,0,1,0,1,2,4,15,2,0
cn.xiaolongonly,3,1,1,5,0,3,0,6,14,3,0
app.sixFC8AF842761CABABB7D3EBA43EBE5ACEE441C0A6,3,0,2,1,0,7,0,9,14,6,0
com.jingzhun,3,1,0,1,0,1,0,6,8,3,0
com.appybuilder.rafifqolbi,10,0,0,0,0,1,39,11,4,4,0
